price,priceRangeLow,priceRangeHigh,latitude,longitude,id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,listingType,listedDate,removedDate,lastSeenDate,daysOnMarket,distance,daysOld,correlation
804000,692000.0,916000.0,42.969179,-70.999888,,,,,,,,,,,,,,,,,,,,,,
729900,,,42.964839,-70.964007,"17-Cypress-Cir,-Exeter,-NH-03833","17 Cypress Cir, Exeter, NH 03833",17 Cypress Cir,,Exeter,NH,03833,Rockingham,Single Family,3.0,3.0,2922.0,216929.0,2020.0,Standard,2025-07-21T00:00:00.000Z,,2025-08-07T05:33:00.615Z,18.0,1.8408,1.0,0.8849
875000,,,42.958526,-70.995851,"13-Great-Hill-Ct,-Exeter,-NH-03833","13 Great Hill Ct, Exeter, NH 03833",13 Great Hill Ct,,Exeter,NH,03833,Rockingham,Single Family,3.0,3.0,2366.0,85813.0,1978.0,Standard,2024-12-04T00:00:00.000Z,2025-01-07T00:00:00.000Z,2025-01-06T07:52:12.301Z,34.0,0.7647,214.0,0.8768
745000,,,42.965096,-70.964193,"14-Cypress-Cir,-Exeter,-NH-03833","14 Cypress Cir, Exeter, NH 03833",14 Cypress Cir,,Exeter,NH,03833,Rockingham,Condo,3.0,3.0,2758.0,,2019.0,Standard,2025-01-24T00:00:00.000Z,2025-03-28T00:00:00.000Z,2025-03-27T09:57:33.188Z,63.0,1.8286,134.0,0.8752
750000,,,42.979833,-70.958245,"32-Union-St,-Exeter,-NH-03833","32 Union St, Exeter, NH 03833",32 Union St,,Exeter,NH,03833,Rockingham,Multi-Family,3.0,3.0,2342.0,10454.0,1900.0,Standard,2025-07-09T00:00:00.000Z,,2025-08-07T05:45:08.759Z,30.0,2.2326,1.0,0.8428
699900,,,42.988678,-71.002776,"172-Brentwood-Rd,-Exeter,-NH-03833","172 Brentwood Rd, Exeter, NH 03833",172 Brentwood Rd,,Exeter,NH,03833,Rockingham,Single Family,3.0,2.5,2592.0,87120.0,2000.0,Standard,2024-07-16T00:00:00.000Z,2024-11-07T00:00:00.000Z,2024-11-06T10:07:33.265Z,114.0,1.3566,275.0,0.8416
625000,,,42.979467,-70.965999,"206-Front-St,-Exeter,-NH-03833","206 Front St, Exeter, NH 03833",206 Front St,,Exeter,NH,03833,Rockingham,Townhouse,3.0,3.0,2100.0,7405.0,1920.0,Standard,2025-07-23T00:00:00.000Z,,2025-08-07T05:33:00.586Z,16.0,1.8569,1.0,0.8376
799900,,,42.999609,-71.027866,"14-Gallant-Dr,-Brentwood,-NH-03833","14 Gallant Dr, Brentwood, NH 03833",14 Gallant Dr,,Brentwood,NH,03833,Rockingham,Single Family,3.0,2.5,3044.0,65776.0,2000.0,Standard,2025-04-09T00:00:00.000Z,2025-04-16T00:00:00.000Z,2025-04-15T06:03:19.327Z,7.0,2.5367,115.0,0.8362
829000,,,42.945219,-70.960501,"19-Shaws-Hill-Rd,-Kensington,-NH-03833","19 Shaws Hill Rd, Kensington, NH 03833",19 Shaws Hill Rd,,Kensington,NH,03833,Rockingham,Single Family,3.0,2.5,3070.0,91476.0,1730.0,Standard,2025-08-06T00:00:00.000Z,,2025-08-07T05:18:19.944Z,2.0,2.5927,1.0,0.834
979900,,,42.984419,-70.951199,"307-Water-St,-Exeter,-NH-03833","307 Water St, Exeter, NH 03833",307 Water St,,Exeter,NH,03833,Rockingham,Single Family,4.0,4.0,3238.0,14810.0,1870.0,Standard,2024-09-30T00:00:00.000Z,2024-11-26T00:00:00.000Z,2024-11-25T10:20:08.263Z,57.0,2.68,256.0,0.825
1019900,,,42.971397,-70.995716,"6-Split-Rock-Rd,-Exeter,-NH-03833","6 Split Rock Rd, Exeter, NH 03833",6 Split Rock Rd,,Exeter,NH,03833,Rockingham,Single Family,4.0,3.5,3776.0,65340.0,1966.0,Standard,2024-09-04T00:00:00.000Z,2024-11-15T00:00:00.000Z,2024-11-14T10:35:48.818Z,72.0,0.261,267.0,0.8233
